"Table 4  -Full list of first forenames given, Scotland, 2007",,,,

Boys,,,Girls,
Name,Number,,Name,Number
A,1,,Aahana,1
Aadam,5,,Aaima,1
Aadit,1,,Aaiva,1
Aahron,1,,Aakriti,1
Aaran,1,,Aaliyah,7
Aaren,1,,Aamanee,1
Aarez,1,,Aamina,1
Aarman,1,,Aaminah,2
Aaron,279,,Aamirah,1
Aaron-James,1,,Aamna,1
Aarron,6,,Aanya,2
Aaryan,1,,Aara,1
Aaryn,3,,Aaraa,1
Aayan,4,,Aarifah,2
Aazaan,1,,Aarthi,1
Abaan,1,,Aaryn,1
Abbas,1,,Aayat,1
Abdallah,1,,Aayma,1
Abdalroof,1,,Abaigeal,1
Abdihakim,1,,Abar,1
Abdirahman,1,,Abbe,1
Abdisalam,1,,Abbegail,1
Abdul,14,,Abbey,28
Abdul-Aziz,1,,Abbeygail,2
Abdulbasir,1,,Abbeygale,1
Abdulkadir,1,,Abbi,25
Abdulkarem,1,,Abbie,196
Abdulkhader,1,,Abbiegail,1
Abdullah,11,,Abbie-Leigh,1
Abdul-Majeed,1,,Abbie-Rose,1
Abdulmalik,1,,Abbigail,4
Abdul-Rehman,1,,Abbigale,1
Abdur,1,,Abbi-Lee,1
Abdurraheem,1,,Abby,69
Abdur-Rahman,1,,Abby-Leigh,1
Abdur-Rehmaan,1,,Abeera,1
Abel,3,,Abhia,1
Abhinav,3,,Abhy,1
Abhisumant,1,,Abi,61
Abid,1,,Abia,1
Abir,1,,Abigael,4
Abraham,4,,Abigail,153
Abu,1,,Abigayle,3
Abubakar,2,,Abiha,1
Ace,1,,Abi-Louise,1
Adain,2,,Abiola,1
Adam,323,,Abisha,1
Adam-James,1,,Abiya,1
Addison,1,,Abrar,1
Addisson,1,,Abrare,1
Adegbola,1,,Abril,1
Adegbolahan,1,,Aby,1
Aden,1,,Ada,1
Adenn,1,,Adalaide,1
Adie,1,,Adana,1
Adil,4,,Addison,5
Aditya,1,,Adeena,1
Adnan,2,,Adelaide,1
Adrian,14,,Adele,12
